Question,A,B,C,D,Answer,Image,Category
"According to the Vehicle Act B.E. 2522, what does 'motorcycle' mean?","A vehicle powered by an engine or electricity and has no more than two wheels, if it has a sidecar, it has no more than one additional wheel",A vehicle powered by an engine or electricity and has no more than two wheels,A vehicle powered by an engine with no more than two wheels,A vehicle powered by an engine or electricity and has more than two wheels,A,,"Automotive Law"
Which is not a 'public hire vehicle'?,Taxi,Personal motorcycle,Public hire motorcycle,Public hire tricycle,B,,"Automotive Law"
"According to the Vehicle Act B.E. 2522, what does 'service car' mean?",Rental car carrying no more than seven passengers,Passenger car carrying no more than seven passengers,Passenger car or rental car carrying no more than seven passengers,Passenger car or rental car carrying more than seven passengers,C,,"Automotive Law"
Which is a 'personal vehicle'?,Personal motorcycle,Taxi,Public hire tricycle,Red plate car,A,,"Automotive Law"
What type of vehicle must be used on the road?,A vehicle with non-working headlights,A vehicle with noise above 90 decibels A,A vehicle with black smoke over 55 percent,A registered and taxed vehicle,D,,"Automotive Law"
Which type of vehicle can be registered?,A vehicle must have correct components and pass a vehicle inspection,A vehicle must have correct components,A vehicle purchased from a general car dealership,A vehicle that has passed inspection by a private vehicle inspection council,A,,"Automotive Law"
Which vehicle is exempt from registration?,Temple's vehicle,Foundation's vehicle,Vehicle exclusively for His Majesty the King,Vehicle of the Supreme Commander,C,,"Automotive Law"
Which vehicle is exempt from registration?,Temple's vehicle,Registered police vehicle with markings as specified by the Director-General,Thai Red Cross Society's vehicle,Vehicle of the Friends in Need of 'PA' Volunteers Foundation,B,,"Automotive Law"
Which vehicle is exempt from registration?,Registered vehicle of the Royal Household Bureau with markings as specified by the Secretary-General of the Royal Household,Vehicle exclusively for His Majesty the King,Registered police vehicle with markings as specified by the Director-General,All of the above,D,,"Automotive Law"
Which vehicle is exempt from registration?,Vehicle whose owner has notified non-use,Imported car,Personal tricycle,Motorcycle used within a village,A,,"Automotive Law"
Which vehicle is exempt from registration?,Vehicle produced or assembled for sale or imported for sale and has not been sold to others,Personal tricycle,Motorcycle used within a village,Temple's vehicle,A,,"Automotive Law"
Which vehicle is exempt from fees except for license plate fees?,Public hire vehicle,Personal motorcycle,Fire truck,Personal van,C,,"Automotive Law"
Which vehicle is exempt from fees except for license plate fees?,Non-hire ambulance,Personal motorcycle,Personal motorcycle,Personal van,A,,"Automotive Law"
Which vehicle is exempt from fees except for license plate fees?,Personal van,Foundation's vehicle,Temple's vehicle,"Vehicle of ministries, departments, municipalities, provincial administrative organizations, Bangkok Metropolitan Administration, Pattaya City, and other local government agencies, provided that the vehicle is not used for commerce or profit",D,,"Automotive Law"
Which vehicle is exempt from fees except for license plate fees?,Private road roller,State enterprise's roller,Private tractor,Personal tractor,B,,"Automotive Law"
Which vehicle is exempt from fees except for license plate fees?,Private tractor,State enterprise's tractor,Private road roller,Provincial Governor's road roller,B,,"Automotive Law"
Which vehicle is exempt from fees except for license plate fees?,Thai Red Cross Society's vehicle,Ruamkatanyu Foundation's vehicle,Temple's vehicle,Saijaithai Foundation's vehicle,A,,"Automotive Law"
Which vehicle is exempt from fees except for license plate fees?,Diplomatic mission vehicle,Ruamkatanyu Foundation's vehicle,Temple's vehicle,Saijaithai Foundation's vehicle,A,,"Automotive Law"
Which vehicle is exempt from fees except for license plate fees?,Fire truck of the Subdistrict Administrative Organization,Personal van,Hire van,Personal motorcycle,A,,"Automotive Law"
Where should you apply for vehicle registration?,Submit an application to the registrar at any provincial transport office,Submit an application to the local registrar where you reside,Submit an application to the Department of Land Transport,Submit an application to the registrar at the vehicle dealership location,D,,"Automotive Law"
"If a registered vehicle owner wants to change the vehicle color, what should they do?",Change the color immediately,Notify the registrar within 15 days,Notify the registrar within 30 days,Notify the registrar within 7 days,D,,"Automotive Law"
"If you want to change the vehicle body, what should you do?",Change and then proceed to the transport office,Request permission from the local registrar where the vehicle is registered,Notify the change within 15 days,No need to notify as it's not a significant change,B,,"Automotive Law"
Who are inspectors under the Vehicle Act?,Department of Land Transport officers appointed by the Minister of Transport,Department of Land Transport officers,Employees of the Transport Company Limited,Department of Land Transport officers and police officers,A,,"Automotive Law"
"If a vehicle owner wants to relocate the vehicle, how many days do they have to notify the registrar?",30 days,7 days,15 days,60 days,C,,"Automotive Law"
"If a vehicle owner has a mission and cannot notify the vehicle relocation within the legal time frame, which is correct?",Guilty and must pay a fine for late notification,No fine due to necessity,Cannot notify the relocation,All are incorrect,A,,"Automotive Law"
"If a vehicle owner wants to transfer the vehicle, how many days do they have to notify the registrar?",60 days,25 days,30 days,15 days,D,,"Automotive Law"
"If a vehicle owner has a mission and cannot notify the vehicle transfer within the legal time frame, which is correct?",No fine due to necessity,Guilty and must pay a fine for late transfer,Cannot notify the transfer,All are incorrect,B,,"Automotive Law"
Which is incorrect?,Personal car can be used for hire,Personal motorcycle cannot be used for passenger hire,Public motorcycle can be used for passenger hire,Public motorcycle can be used for personal business,A,,"Automotive Law"
"Can Mr. A use his public motorcycle to take his wife to the market, and how?","Yes, because Mr. A's wife is a family member","Yes, because public motorcycles can be used for the owner's personal business","No, because public motorcycles must be used for hire only","No, because public motorcycles cannot be used for the owner's personal business",B,,"Automotive Law"
Which type of vehicle can be used for passenger hire?,Public motorcycle,Personal motorcycle,Personal car,Personal van,A,,"Automotive Law"
"According to the Vehicle Act, when can a red plate car (for sale or repair) be driven?",From 08:00 to 16:00,Anytime,Not allowed because the tax has not been paid,From sunrise to sunset,D,,"Automotive Law"
What is the legal consequence for a vehicle that has unpaid annual taxes for three consecutive years?,Registration is suspended,The vehicle can be inspected and the annual tax can be renewed,Both 1 and 2 are correct,The vehicle can be reported as non-use permanently and re-registered,A,,"Automotive Law"
Which is correct?,A car with a usage period of 5 years must be inspected at a private vehicle inspection station before renewing the annual tax,A car with a usage period of 7 years must be inspected at a private vehicle inspection station before renewing the annual tax,A motorcycle with a usage period of 7 years must be inspected at a private vehicle inspection station before renewing the annual tax,A car with a usage period of 10 years must be inspected at a private vehicle inspection station before renewing the annual tax,B,,"Automotive Law"
Which type of insurance is required for annual tax renewal?,Type 1 insurance,Type 2 insurance,Type 3 insurance,Insurance covering third-party liability from vehicles,D,,"Automotive Law"
Which is correct?,A motorcycle with a usage period of 5 years must be inspected at a private vehicle inspection station before renewing the annual tax,A car with a usage period of 5 years must be inspected at a private vehicle inspection station before renewing the annual tax,A motorcycle with a usage period of 7 years must be inspected at a private vehicle inspection station before renewing the annual tax,A car with a usage period of 10 years must be inspected at a private vehicle inspection station before renewing the annual tax,A,,"Automotive Law"
Which is correct while driving?,The driver must have a copy of the driving license and vehicle registration manual,The driver must have a driving license and vehicle registration manual,The driver must have a driving license and a copy of the vehicle registration manual,The driver must have a copy of the driving license and a copy of the vehicle registration manual,C,,"Automotive Law"
Which is correct?,A public car driving license can replace a personal motorcycle driving license,A public car driving license can replace a personal car driving license,A public car driving license can replace a personal tricycle driving license,A public tricycle driving license can replace a personal motorcycle driving license,B,,"Automotive Law"
Which is correct?,A public motorcycle driving license can replace a personal motorcycle driving license,A public tricycle driving license can replace a personal motorcycle driving license,A public car driving license can replace a personal motorcycle driving license,A public car driving license can replace a personal tricycle driving license,A,,"Automotive Law"
Which is correct?,A public tricycle driving license can replace a personal motorcycle driving license,A public car driving license can replace a personal tricycle driving license,A public car driving license can replace a personal motorcycle driving license,A public tricycle driving license can replace a personal tricycle driving license,D,,"Automotive Law"
How many years is a temporary personal driving license valid for?,1 year,2 years,3 years,5 years,B,,"Automotive Law"
"If you want to change a temporary personal car driving license to a 5-year personal type, which is correct?",Can be changed 30 days or 1 month in advance,Can be changed 60 days or 2 months in advance,Can be changed 90 days or 3 months in advance,Can be changed 120 days or 4 months in advance,B,,"Automotive Law"
How many months in advance can a 5-year personal driving license be renewed?,1 month,3 months,4 months,6 months,B,,"Automotive Law"
Mr. A was born in Chiang Mai and wants to apply for a temporary personal car driving license. Where should he go?,Any provincial transport office and branch office,Chiang Mai Provincial Transport Office except Bangkok,"Chiang Mai Provincial Transport Office except Yala Provincial Transport Office, Betong branch",All are incorrect,A,,"Automotive Law"
How old must an applicant for a temporary car driving license be?,At least 15 years old,At least 16 years old,At least 17 years old,At least 18 years old,D,,"Automotive Law"
Mr. B is disabled and has no fingers on his left hand. Can he apply for a temporary car driving license?,"No, because Mr. B is disabled","No, because it violates the regulations of the Department of Land Transport","Yes, if Mr. B has a disability card","Yes, because he is not visibly disabled in a way that would prevent driving",D,,"Automotive Law"
Which person can apply for a driving license?,"Mr. Chai, who is not visibly disabled in a way that would prevent driving","Ms. Ying, who is mentally ill or insane","Mr. Dam, who is in the process of having his license revoked","Ms. Daeng, who has tuberculosis",A,,"Automotive Law"
Mr. Daeng wants to apply for a public car driving license. Which is correct?,Mr. Daeng is not mentally ill or insane,Mr. Daeng must have held a driving license for at least 1 year,Mr. Daeng is not visibly disabled in a way that would prevent driving,All of the above,D,,"Automotive Law"
What are the qualifications for applying for a public car driving license?,Must be reasonably familiar with roads and highways in the province where the license is applied for,Must be at least 20 years old,Must have at least 5 years of driving experience,Must have a motorcycle and car driving license,A,,"Automotive Law"
Which is correct?,Must be a Thai national,Must be reasonably familiar with roads and highways in the province where the license is applied for,Must not be an alcoholic or drug addict,All of the above,D,,"Automotive Law"
"If it is later found that a person lacks the qualifications for a driving license, what should they do?",Notify the registrar to revoke the license and return the revoked license to the Department of Land Transport,Notify the registrar to revoke the license,Continue using the driving license,Return the revoked driving license,A,,"Automotive Law"
"If a driving license is suspended, how many days do you have to appeal?",30 days,15 days,45 days,60 days,B,,"Automotive Law"
"If a driving license is revoked, how many days do you have to appeal?",45 days,30 days,15 days,60 days,C,,"Automotive Law"
"If a driving license is suspended or revoked, how many days do you have to appeal?",15 days,30 days,60 days,90 days,A,,"Automotive Law"
How many days does a person have to return a revoked driving license to the registrar?,30 days,15 days,60 days,90 days,B,,"Automotive Law"
"If a driving license is lost, how many days do you have to notify the registrar from the date you know of the loss?",15 days,30 days,60 days,90 days,A,,"Automotive Law"
"If a driving license is significantly damaged, how many days do you have to notify the registrar from the date you know of the damage?",30 days,15 days,60 days,90 days,B,,"Automotive Law"
"When violating the Vehicle Act and receiving an order from the vehicle inspector to report, how many days does the driver have to report to the registrar?",7 days,3 days,10 days,15 days,A,,"Automotive Law"
In which case can a public car driver refuse to carry passengers?,The passenger is mentally ill,The passenger is drunk,The passenger brings durians that smell on the car,All of the above,D,,"Automotive Law"
What must a public car driver do?,Take passengers to the contracted location by the agreed route,Not take passengers to the contracted location by the shortest route,Not take passengers to the contracted location by the fastest route,Take passengers to the contracted location by the detour route,A,,"Automotive Law"
What must a public car driver do?,Take passengers to the contracted location by the shortest route,Not take passengers to the contracted location by the agreed route,Not take passengers to the contracted location by the fastest route,Take passengers to the contracted location by the detour route,A,,"Automotive Law"
How must a public car driver behave?,Refuse passengers in traffic congestion routes,Not smoke,Use a personal car driving license when the public car driving license expires,Play loud music to relieve passenger stress,B,,"Automotive Law"
How must a public car driver behave?,Play loud music to relieve passenger stress,Talk loudly disturbing others,Not be annoying,Smoke to relieve stress in traffic jams,C,,"Automotive Law"
How must a public car driver behave?,Smoke to relieve stress in traffic jams,Talk loudly,Wear a t-shirt while driving,Not speak rudely or sarcastically,D,,"Automotive Law"
How must a public car driver behave?,Not be aggressive or insulting to passengers,Talk loudly,Wear a t-shirt while driving,Smoke to relieve stress in traffic jams,A,,"Automotive Law"
How must a public car driver behave while driving?,Smoke to relieve stress in traffic jams,Reprimand passengers for improper attire,Wear a uniform on routes with regular checkpoints,Not consume alcohol or intoxicants,D,,"Automotive Law"
How must a public car driver behave?,Play loud music to relieve passenger stress,Not use illegal drugs,Stop the car as passengers wish,Smoke to relieve stress in traffic jams,B,,"Automotive Law"
How must a public car driver behave?,Not use psychoactive substances,Drive fast when passengers are in a hurry,Cater to passengers to reach the destination as quickly as possible,Smoke to relieve stress in traffic jams,A,,"Automotive Law"
How must a public car driver behave?,Engage passengers in conversation for friendliness,Ask passengers for permission to park and sleep when sleepy,Not drive while impaired,Distribute phone numbers to attract customers,C,,"Automotive Law"
What is the penalty for driving without a license?,"Imprisonment not exceeding 1 month or a fine not exceeding 1,000 baht or both","A fine not exceeding 1,000 baht","Imprisonment not exceeding 6 months or a fine not exceeding 1,000 baht or both","A fine not exceeding 2,000 baht",D,,"Automotive Law"
What is the penalty for driving with an expired license?,"A fine not exceeding 1,000 baht","Imprisonment not exceeding 1 month or a fine not exceeding 1,000 baht or both","Imprisonment not exceeding 6 months or a fine not exceeding 1,000 baht or both","A fine not exceeding 2,000 baht",D,,"Automotive Law"
Mr. A has been using his car for 6 years and wants to pay the annual vehicle tax. What documents are required?,"Certificate of passing a private vehicle inspection, Compulsory Motor Insurance (CMI), Vehicle registration manual","Certificate of passing a private vehicle inspection, Compulsory Motor Insurance (CMI)","Certificate of passing a private vehicle inspection, Vehicle registration manual","Certificate of passing a private vehicle inspection, Compulsory Motor Insurance (CMI), Copy of the vehicle registration manual",A,,"Automotive Law"
"If a vehicle registration is suspended, where must the vehicle be inspected for re-registration?",Provincial transport office in the domicile where the vehicle is to be registered,Private inspection station in the domicile where the vehicle is to be registered,Provincial transport office or branch in the domicile where the vehicle is to be registered,Cannot register the vehicle because the registration is suspended,D,,"Automotive Law"
How must a driver behave when driving through an intersection?,Strictly follow traffic signals or traffic rules,"When seeing an intersection warning sign, drive at normal speed","If there are no traffic signals, let the larger vehicle go first","When seeing a traffic signal warning sign at the intersection, drive normally",A,,"Traffic Law"
How should a driver signal a turn?,Slow down and signal at least 30 meters before the turn,Signal at least 20 meters before the turn,Stop to prepare for the turn,Speed up before the turn,A,,"Traffic Law"
How must a driver stop at an intersection?,Stop over the stop line,Stop behind the stop line,Stop beyond the stop line,Stop beyond the stop sign,B,,"Traffic Law"
Where is overtaking prohibited?,On a straight road,On a safe road,On an open road,On a narrow curve,D,,"Traffic Law"
"When parking, how far from the curb must the car be?",No more than 25 centimeters,No more than 30 centimeters,No more than 35 centimeters,No more than 40 centimeters,A,,"Traffic Law"
"When overtaking a vehicle in front, you must overtake on the right except in which case can you overtake on the left?",When the vehicle to be overtaken is turning right or signaling to turn right,Overtake other vehicles on the left in a single-lane road,Overtake other vehicles in the right lane of the overtaken vehicle,Overtake other vehicles on the left while driving on a bridge,A,,"Traffic Law"
Which vehicle can be used on the road?,A vehicle without a government license plate,A registered and taxed vehicle,A vehicle with overdue tax,A vehicle declared permanently out of use,B,,"Traffic Law"
Which vehicle is prohibited from being used on the road?,A vehicle in unstable condition,A vehicle with a government license plate,A registered and taxed vehicle,A vehicle with complete components,A,,"Traffic Law"
What does a safety zone mean?,An area marked to indicate it is safe to continue driving,An area where drivers can pass through,An area on the road clearly marked at all times for pedestrians to wait before crossing or to board/alight vehicles before crossing,An area where pedestrians can cross without waiting,C,,"Traffic Law"
Which vehicle can be used on the road?,A vehicle louder than the government standard,A vehicle dragging something on the road,A vehicle with non-rubber wheels,A vehicle with an engine noise level of 80 decibels,D,,"Traffic Law"
What does a red cross-shaped traffic signal above the lane mean?,Park in that lane,Stop and park in that lane,Drive in that lane,Stop in that lane,C,,"Traffic Law"
"When a traffic officer stands and extends their left arm horizontally, from which direction must drivers stop?",From the side,From the front and back,From the back,From the front,C,httpknowledgeth-blogspot-com-1-2-12-6531.jpg,"Traffic Law"
"When a traffic officer stands and extends their right arm vertically with the palm up, from which direction must drivers stop?",From the back,From the front and back,From the front,From the side and back,C,knowledgeth-blogspot-com-12-13-0fd0.jpg,"Traffic Law"
How must a driver behave at an intersection with a flashing red traffic signal?,"Stop behind the stop line, proceed when safe without obstructing traffic",Slow down and proceed with caution,Park with caution,Speed up and proceed quickly,A,,"Traffic Law"
How must a driver behave at an intersection with a flashing yellow traffic signal?,Slow down and proceed with caution,"Stop behind the stop line, proceed when safe without obstructing traffic",Park,Speed up and proceed quickly,A,,"Traffic Law"
Drivers must drive on the left side of the road except in which case can they drive on the right or cross the centerline?,When there is no oncoming traffic,When the road is very wide,When there is an obstacle on the left side,When the road is flooded,C,,"Traffic Law"
What does it mean when a driver extends their right arm straight out at shoulder level and waves up and down several times?,Stop the vehicle,Turn right,Slow down the vehicle,Park the vehicle,C,knowledgeth-blogspot-com-dd-3355.jpg,"Traffic Law"
How far must a driver keep from the vehicle in front?,At a distance where the vehicle can be stopped safely in an emergency,No less than 2 meters,No less than 1 meter,No less than 3 meters,A,,"Traffic Law"
"If a driver wants to turn left, how far before the turn must they drive in the left lane?",At least 15 meters,At least 20 meters,At least 25 meters,At least 30 meters,D,,"Traffic Law"
How far must headlights or taillights be visible to other vehicles?,150 meters,100 meters,60 meters,120 meters,A,,"Traffic Law"
"When driving in opposite directions, how should a driver behave?",Can overtake into the bus lane,Drive close to the left side,"In a lane with obstacles ahead, do not wait for the oncoming vehicle to pass","In a narrow lane where two vehicles cannot pass, the smaller vehicle must stop close to the left to let the larger vehicle pass",B,,"Traffic Law"
"Drivers are prohibited from overtaking other vehicles when there is fog, dust, rain, or smoke that limits visibility to how many meters?",60 meters,90 meters,70 meters,80 meters,A,,"Traffic Law"
Where is overtaking prohibited?,On a narrow curve,When there is an obstacle on the left side of the road,150 meters from an intersection,Overtaking on the left while there is a vehicle waiting to turn right,A,,"Traffic Law"
Where can a U-turn be made?,On a road with a no U-turn sign,On a bridge,150 meters from the slope of a bridge,In a safety zone,C,,"Traffic Law"
"When a driver encounters a Left turn always"" sign"," what should they do?""",Slow down and turn left immediately,Wait for the green light before turning left,Wait for pedestrians and vehicles from the right to pass before turning left,C,,"Traffic Law"
Who does not have the duty to give traffic signals according to the Land Traffic Act B.E. 2522?,Car drivers,Traffic officers,Motorcycle drivers,Pedestrians,D,,"Traffic Law"
Which driver behavior is incorrect?,Slow down when approaching a roundabout,Slow down when approaching a narrow area,Park at an intersection,Slow down when seeing pedestrians crossing,C,,"Traffic Law"
Where is overtaking allowed?,At an intersection,On a one-way bridge,On a narrow curve,On a road marked for overtaking,D,,"Traffic Law"
What must be done every time before changing lanes or overtaking a vehicle?,Quickly change lanes,Signal with lights or horn,Overtake and brake immediately,Accelerate quickly to overtake,B,,"Traffic Law"
Where can a vehicle be parked?,Where there is a no parking sign,In a tunnel,At an intersection,In a shopping mall parking lot,D,,"Traffic Law"
Which driving behavior is correct?,Driving in an unusual manner,Overtaking in a tunnel,Driving in a manner that obstructs traffic,Driving at a speed not exceeding the legal limit,D,,"Traffic Law"
"When approaching a railway crossing with a passing train, what must a driver do?",Stop at least 5 meters from the railway,Quickly drive through,Honk the horn and drive through,Wait for the signal and turn on the hazard lights,A,,"Traffic Law"
Where can a horn be used?,At a school,At a government office,At a park,At a hospital,C,,"Traffic Law"
What is the consequence if a driver flees the scene of an accident?,No consequence if not at fault,Presumed to be at fault,Considered to be in the right,Will be kept as a witness,B,,"Traffic Law"
When can a horn be used?,When the vehicle in front is slow,Whenever convenient,All the time,When necessary to prevent an accident,D,,"Traffic Law"
How far must a driver keep from the vehicle in front?,At a safe distance,13 meters,50 meters,3 car lengths,A,,"Traffic Law"
"Before turning, how far must a driver enter the turn lane and signal?",3 meters,30 meters,10 meters,15 meters,B,,"Traffic Law"
What is the maximum allowable alcohol level in the breath for drivers?,Not more than 60 milligrams percent,Not more than 70 milligrams percent,Not more than 50 milligrams percent,Not more than 80 milligrams percent,C,,"Traffic Law"
What is the penalty for having an alcohol level above the legal limit while driving?,"Imprisonment not exceeding 3 months or a fine between 1,000 to 50,000 baht","Imprisonment not exceeding 1 year or a fine between 5,000 to 20,000 baht or both","A fine not exceeding 5,000 baht","A fine not exceeding 10,000 baht",B,,"Traffic Law"
"What is the speed limit in Bangkok, Pattaya City, or municipal areas?",Not exceeding 90 kilometers per hour,Not exceeding 80 kilometers per hour,Not exceeding 60 kilometers per hour,Not exceeding 100 kilometers per hour,B,,"Traffic Law"
"What is the speed limit outside Bangkok, Pattaya City, or municipal areas?",Not exceeding 120 kilometers per hour,Not exceeding 80 kilometers per hour,Not exceeding 100 kilometers per hour,Not exceeding 90 kilometers per hour,D,,"Traffic Law"
"When signaling a turn, how far must it be visible to other drivers?",Not less than 10 meters,Not less than 15 meters,Not less than 60 meters,Not less than 30 meters,C,,"Traffic Law"
How should a driver signal a turn?,Signal with the left hand only,Signal with either the left or right hand,No hand signals required,Signal with the right hand only,D,,"Traffic Law"
"In an intersection area with a no U-turn sign but a traffic officer allows a U-turn, what should a driver do?",Make a U-turn,Make a U-turn if there is no no U-turn sign,Do not make a U-turn,Make a U-turn if it is not an intersection,A,,"Traffic Law"
What should a driver do when wanting to make a U-turn?,Drive in any lane,Look for traffic signs that allow U-turns and enter the correct lane,Enter the lane with a straight arrow on the road,Make a U-turn at the yellow diagonal line area,B,,"Traffic Law"
Which behavior is correct?,Motorcycles must drive in the leftmost lane,Passenger trucks must drive in the rightmost lane,Goods trucks must drive in the rightmost lane,Changing lanes to the right or left without checking the mirrors,A,,"Traffic Law"
"In a road with two or more lanes in the same direction, how should motorcycle drivers behave?",Drive in the rightmost lane,Drive in the leftmost lane,Drive straddling the lane divider,Drive in the lane that goes straight,B,,"Traffic Law"
Who is exempt from wearing a helmet while riding a motorcycle?,Monks and novices,Passengers,Children,Drivers,A,,"Traffic Law"
When is it correct to use hazard lights?,When the vehicle is broken down or in an accident,All the time,When there is fog,When passing through intersections,A,,"Traffic Law"
"When carrying goods, what must a driver do?",Load no more than 1 meter wider than the vehicle on each side,Load no more than 2.50 meters beyond the rear of the vehicle,Load higher than 5 meters from the top of the load,Load no more than 2.50 meters beyond the front of the vehicle,B,,"Traffic Law"
How should a non-steerable or brake-less vehicle be towed?,Pushed by people,Pushed by another vehicle,Towed with a tow rope,Lifted from the front or rear and towed,D,,"Traffic Law"
What must a slow-moving vehicle driver do?,Drive on both the left and right sides,Drive close to the right side,Drive on the shoulder,Drive close to the left side,D,,"Traffic Law"
"When seeing this sign, what should the driver do?",Be more cautious and stop the vehicle,"Be more cautious, stop and pick up/drop off","Drive slower if it's unsafe for other vehicles or pedestrians, stop before the give way line",Be more cautious and park the vehicle,C,1-3-1-c6d1.jpg,"Traffic Signs and Signals"
What does this sign mean?,Speed reduction line,U-turn allowed,No U-turn,Parking allowed,B,1-3-2-64f9.jpg,"Traffic Signs and Signals"
What does this sign mean?,No left or right turn,No straight or right turn,One-way left,"Vehicles on the solid line side are prohibited from crossing or straddling the line, but vehicles on the dashed line side may overtake when safe",D,1-3-3-38ef.jpg,"Traffic Signs and Signals"
"When seeing this sign, what should the driver do?",Change lanes or overtake,"No straight or right turn, no changing lanes","No left or right turn, no changing lanes","One-way left, no changing lanes",A,1-3-4-f3c7.jpg,"Traffic Signs and Signals"
"When seeing this sign, what should the driver do?",Slow down and accelerate quickly,"Drive slower, if other vehicles or pedestrians are in the way, stop before the give way line",Drive quickly,Drive slower and overtake,B,1-3-5-7b32.jpg,"Traffic Signs and Signals"
"When seeing this sign, what should the driver do?",Park on the line at any time,Stop and pick up/drop off at any time,Stop before the stop line or give way line to let pedestrians cross,Park on the line at any time,C,1-3-6-3fef.jpg,"Traffic Signs and Signals"
"When seeing this sign, what should the driver do?","Drive within the lane, no overtaking, no crossing the line","Drive slower, turn right","Drive to the right, turn left","Be more cautious, no left turn",A,1-3-7-d162.jpg,"Traffic Signs and Signals"
"When seeing this sign, what should the driver do?","Be more cautious, no overtaking","Drive within the lane, no crossing the line, but may overtake","Be more cautious, no changing lanes","Drive slower, straddle the line",B,1-3-8-5940.jpg,"Traffic Signs and Signals"
"When seeing this sign, what should the driver do?","Drive quickly, follow the line immediately",Drive slower and overtake,Stop before the line every time,Slow down and accelerate quickly,C,1-3-9-e118.jpg,"Traffic Signs and Signals"
What does this sign mean?,Stopping zone,Pick up/drop off zone,Safety zone,Parking zone,C,1-3-10-ca09.jpg,"Traffic Signs and Signals"
What does this sign mean?,"No stopping within the diagonal lines, except for right-turn waiting",All vehicles can park,All vehicles can stop,All vehicles can make a U-turn,A,1-3-11-5585.jpg,"Traffic Signs and Signals"
"When seeing this sign, what should the driver do?",Overtake other vehicles in this zone,Give way to other vehicles in this zone,Stop in this zone,No overtaking in this zone,D,04-b6be.jpg,"Traffic Signs and Signals"
"When seeing this sign, what should the driver do?",No entry for all vehicles in the direction of the sign,Pedestrians may enter this zone,Only cars may enter this zone,All vehicles may enter this zone,A,05-e19a.jpg,"Traffic Signs and Signals"
What does this sign mean?,No U-turn to the right,No U-turn to the left,U-turn to the left allowed,U-turn to the right allowed,A,06-208c.jpg,"Traffic Signs and Signals"
What does this sign mean?,U-turn to the left allowed,No U-turn to the right,No U-turn to the left,U-turn to the right allowed,C,07-ac22.jpg,"Traffic Signs and Signals"
What does this sign mean?,U-turn to the left allowed,U-turn to the right allowed,No left turn,No U-turn to the left,C,08-24f3.jpg,"Traffic Signs and Signals"
What does this sign mean?,U-turn to the left allowed,U-turn to the right allowed,No U-turn to the left,No right turn,D,09-97ea.jpg,"Traffic Signs and Signals"
What does this sign mean?,No changing lanes to the right,Change lanes to the right,No changing lanes to the left,Change lanes to the left,A,11-c5bc.jpg,"Traffic Signs and Signals"
What does this sign mean?,No right turn or U-turn,Left turn or U-turn allowed,Right turn or U-turn allowed,No left turn or U-turn,A,12-f5a7.jpg,"Traffic Signs and Signals"
What does this sign mean?,No left turn or U-turn,Left turn or U-turn allowed,Go left or right,No left or right turn,A,13-1b34.jpg,"Traffic Signs and Signals"
What does this sign mean?,All types of cars are allowed in the zone where the sign is installed,No cars are allowed in the zone where the sign is installed,Only cars are prohibited from entering the zone where the sign is installed,Cars may park and stop for pick-up/drop-off in the zone where the sign is installed,B,14-c1f9.jpg,"Traffic Signs and Signals"
